eRT,Store,RPC,ProductName,Category,Brand,Segment1,Segment2,Segment3,Segment4,Segment5,Segment6,First POS date,Last POS date,Pantry_flg,Unset_flg,Memo
Lohaco,Lohaco,A607393,【いい買物の日】レノア本格消臭スポーツ スプラッシュリリーの香り 詰め替え 超特大 1320ml 1セット（2個入） 柔軟剤 P&G,Fabric Enhancer,Lenor,Liquid,Honkaku Shoshu,Refill,Refillx3,Case,2p,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607394,【いい買物の日】ジレット フュージョン 5+1 パワー 髭剃り 替刃4個入,B&R,Gillette,Blade,Fusion,Fusion power,,4,,2017-11-07,2017-11-11,,,
Lohaco,Lohaco,A607395,【いい買物の日】レノアハピネス　アンティークローズ＆フローラル　詰め替え　超特大　1260ml×2個　柔軟剤　P&G,Fabric Enhancer,Lenor,Liquid,Happiness,Refill,Refillx3,Case,2p,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607396,【いい買物の日】レノアハピネス　フルーティカクテル＆フラワー　詰め替え　超特大　1260ml×2個　柔軟剤　P&G,Fabric Enhancer,Lenor,Liquid,Happiness,Refill,Refillx3,Case,2p,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607397,【いい買物の日】レノアハピネス ヴェルベットローズ＆ブロッサム 詰め替え 超特大 1260ml 1セット（2個入） 柔軟剤 P&G,Fabric Enhancer,Lenor,Liquid,Happiness,Refill,Refillx3,Case,2p,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607398,【いい買物の日】レノアハピネス　プリンセスパール＆ドリーム　詰め替え　超特大　1260ml×2個　柔軟剤　P&G,Fabric Enhancer,Lenor,Liquid,Happiness,Refill,Refillx3,Case,2p,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607399,【いい買物の日】レノアハピネス　クラッシーフローラル　詰め替え　超特大　1260ml×2個　柔軟剤　P&G,Fabric Enhancer,Lenor,Liquid,Happiness,Refill,Refillx3,Case,2p,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607411,【いい買物の日】ジレット プログライド フレックスボール マニュアル 髭剃り 替刃4個入,B&R,Gillette,Blade,Proglide,Proglide Flexball Manual,,4,,2017-11-05,2017-11-11,,,
Lohaco,Lohaco,A607486,【いい買物の日】プロクター・アンド・ギャンブルジャパン　ブラウンオーラルB電動歯ブラシブラックPRO2000　D205232MXBK PRO2000,Oral Care,Oral-B,Handle,Mid,,,,,2017-11-06,2017-11-06,,,
Lohaco,Lohaco,A607487,【いい買物の日】プロクター・アンド・ギャンブルジャパン　ブラウンオーラルB電動歯ブラシピンクPRO2000　D205232MXPK PRO2000,Oral Care,Oral-B,Handle,Mid,,,,,2017-11-05,2017-11-10,,,
Lohaco,Lohaco,A607553,アリエール イオンパワージェル サイエンスプラス ウィルス除去 詰め替え 超特大 1270g 1セット（3個入） 洗濯洗剤 P&G,Detergent,Ariel,Liquid,Ion Power Gell,Refill,Refillx3,Case,3p,2017-11-04,2018-02-28,,,
Lohaco,Lohaco,A610162,ハイウォッシュジョイ　JOY　オレンジピール成分入り　詰め替え　490g　1セット（5個入） 食洗機用洗剤　P&G,Dish Care,Joy,ADW,HighWashJoy,Refill,Refillx1,Case,5p,2017-10-31,2018-02-27,,,
Lohaco,Lohaco,A687938,【歳末セール】除菌ジョイコンパクト JOY 超特大 1065mL 1セット（2個入） 食器用洗剤 P&G,Dish Care,Joy,HDW,Compact,Refill,Refillx3,Case,2p,2017-11-10,2018-02-28,,,
Lohaco,Lohaco,A687939,【歳末セール】除菌ジョイコンパクト JOY 緑茶の香り 詰め替え 超特大 1065mL 1セット（2個入） 食器用洗剤 P&G,Dish Care,Joy,HDW,Compact,Refill,Refillx3,Case,2p,2017-11-11,2018-02-28,,,
Lohaco,Lohaco,A687940,【歳末セール】除菌ジョイコンパクト JOY スパークリングレモンの香り 超特大 1065mL 1セット（2個入） 食器用洗剤 P&G,Dish Care,Joy,HDW,Compact,Refill,Refillx3,Case,2p,2017-11-11,2018-02-28,,,
